Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeRating,AwayRating,Difference,CorrPred,HomeTeamLeaguePos,HomeTeamPoints,HomeTeamGamesPlayed,HomeTeamGoalDifference,HomeTeamGoalsFor,HomeTeamGoalsAgainst,HomeTeamWon,HomeTeamLost,HomeTeamDrawn,HomeTeamHomePoints,HomeTeamHomeGamesPlayed,HomeTeamHomeGoalDifference,HomeTeamHomeGoalsFor,HomeTeamHomeGoalsAgainst,HomeTeamHomeWon,HomeTeamHomeLost,HomeTeamHomeDrawn,HomeTeamAwayPoints,HomeTeamAwayGamesPlayed,HomeTeamAwayGoalDifference,HomeTeamAwayGoalsFor,HomeTeamAwayGoalsAgainst,HomeTeamAwayWon,HomeTeamAwayLost,HomeTeamAwayDrawn,AwayTeamLeaguePos,AwayTeamPoints,AwayTeamGamesPlayed,AwayTeamGoalDifference,AwayTeamGoalsFor,AwayTeamGoalsAgainst,AwayTeamWon,AwayTeamLost,AwayTeamDrawn,AwayTeamHomePoints,AwayTeamHomeGamesPlayed,AwayTeamHomeGoalDifference,AwayTeamHomeGoalsFor,AwayTeamHomeGoalsAgainst,AwayTeamHomeWon,AwayTeamHomeLost,AwayTeamHomeDrawn,AwayTeamAwayPoints,AwayTeamAwayGamesPlayed,AwayTeamAwayGoalDifference,AwayTeamAwayGoalsFor,AwayTeamAwayGoalsAgainst,AwayTeamAwayWon,AwayTeamAwayLost,AwayTeamAwayDrawn,HTHomeTeamLeaguePos,HTHomeTeamPoints,HTHomeTeamGamesPlayed,HTHomeTeamGoalDifference,HTHomeTeamGoalsFor,HTHomeTeamGoalsAgainst,HTHomeTeamWon,HTHomeTeamLost,HTHomeTeamDrawn,HTHomeTeamHomePoints,HTHomeTeamHomeGamesPlayed,HTHomeTeamHomeGoalDifference,HTHomeTeamHomeGoalsFor,HTHomeTeamHomeGoalsAgainst,HTHomeTeamHomeWon,HTHomeTeamHomeLost,HTHomeTeamHomeDrawn,HTHomeTeamAwayPoints,HTHomeTeamAwayGamesPlayed,HTHomeTeamAwayGoalDifference,HTHomeTeamAwayGoalsFor,HTHomeTeamAwayGoalsAgainst,HTHomeTeamAwayWon,HTHomeTeamAwayLost,HTHomeTeamAwayDrawn,HTAwayTeamLeaguePos,HTAwayTeamPoints,HTAwayTeamGamesPlayed,HTAwayTeamGoalDifference,HTAwayTeamGoalsFor,HTAwayTeamGoalsAgainst,HTAwayTeamWon,HTAwayTeamLost,HTAwayTeamDrawn,HTAwayTeamHomePoints,HTAwayTeamHomeGamesPlayed,HTAwayTeamHomeGoalDifference,HTAwayTeamHomeGoalsFor,HTAwayTeamHomeGoalsAgainst,HTAwayTeamHomeWon,HTAwayTeamHomeLost,HTAwayTeamHomeDrawn,HTAwayTeamAwayPoints,HTAwayTeamAwayGamesPlayed,HTAwayTeamAwayGoalDifference,HTAwayTeamAwayGoalsFor,HTAwayTeamAwayGoalsAgainst,HTAwayTeamAwayWon,HTAwayTeamAwayLost,HTAwayTeamAwayDrawn,Form,PPower
2016-09-24,Stoke,West Brom,1,1,D,0,0,D,12,9,2,3,9,13,6,6,3,4,0,0,19.07,20.03,-0.76,0,20,1,5,-8,3,14,0,8,1,0,2,-3,1,8,0,2,0,0,2,-3,1,8,0,2,0,11,7,5,-1,6,5,2,2,1,3,2,1,1,1,1,1,0,3,2,1,1,1,1,1,0,5,9,9,1,3,6,2,2,3,8,6,0,3,3,2,2,2,8,6,0,3,3,2,2,2,19,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,2,4,1.9833333333333332
2016-09-24,Man United,Leicester,4,1,H,4,0,H,16,10,7,3,9,12,8,6,0,2,0,0,20.15,19.99,0.36,1,7,9,5,4,8,6,3,2,0,3,2,2,3,2,1,1,0,3,2,2,3,2,1,1,0,12,7,5,-3,7,7,2,2,1,0,2,-1,2,6,0,2,0,0,2,-1,2,6,0,2,0,14,4,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,-3,4,8,2,2,3,0,2,-1,1,3,0,2,0,0,2,-1,1,3,0,2,0,7,2.216666666666667
2016-09-24,Swansea,Man City,1,3,A,1,1,D,13,18,5,4,15,9,2,7,2,4,0,0,19.77,20.95,-0.98,1,15,4,5,-2,4,7,1,3,1,1,2,-2,2,4,0,1,1,1,2,-2,2,4,0,1,1,1,15,5,7,15,4,5,0,0,6,2,3,6,2,2,0,0,6,2,3,6,2,2,0,0,2,14,8,6,9,3,4,1,2,12,5,0,9,2,4,1,0,12,5,0,9,2,4,1,0,9,6,2,2,4,1,2,0,0,6,2,2,4,1,2,0,0,6,2,2,4,1,2,0,0,1,1.5666666666666664
2016-09-24,Arsenal,Chelsea,3,0,H,3,0,H,14,9,5,2,9,11,9,1,0,2,0,0,20.49,20.28,0.41,1,5,10,5,2,12,7,3,2,1,3,2,-1,5,5,1,1,0,3,2,-1,5,5,1,1,0,4,10,5,5,10,6,3,1,1,4,2,1,4,3,1,0,1,4,2,1,4,3,1,0,1,7,8,5,2,5,2,2,0,2,1,2,0,1,2,0,1,1,1,2,0,1,2,0,1,1,3,12,9,0,4,3,2,0,6,4,2,0,1,0,1,0,1,4,2,0,1,0,1,0,1,15,2.9166666666666665
2016-09-24,Liverpool,Hull,5,1,H,3,0,H,32,2,12,1,8,8,13,2,1,2,0,1,20.37,19.85,0.72,1,6,10,5,2,11,8,3,1,1,3,1,0,4,1,1,0,0,3,1,0,4,1,1,0,0,8,7,5,2,6,7,2,2,1,4,2,2,3,1,1,0,1,4,2,2,3,1,1,0,1,8,7,4,-1,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,5,1,7,0,3,0,2,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,2,10,2.9499999999999997
2016-09-24,Arsenal,Chelsea,3,0,H,3,0,H,14,9,5,2,9,11,9,1,0,2,0,0,20.49,20.28,0.41,1,5,10,5,2,12,7,3,2,1,3,2,-1,5,5,1,1,0,3,2,-1,5,5,1,1,0,4,10,5,5,10,6,3,1,1,4,2,1,4,3,1,0,1,4,2,1,4,3,1,0,1,7,8,5,2,5,2,2,0,2,1,2,0,1,2,0,1,1,1,2,0,1,2,0,1,1,3,12,9,0,4,3,2,0,6,4,2,0,1,0,1,0,1,4,2,0,1,0,1,0,1,10,3.35
2016-09-25,West Ham,Southampton,0,3,A,0,1,A,13,18,1,9,9,14,6,2,5,2,0,0,19.46,19.85,-0.19,1,18,3,5,-4,7,13,1,5,0,3,2,1,3,4,1,1,0,3,2,1,3,4,1,1,0,15,5,5,-3,4,6,1,2,2,0,2,-2,1,4,0,2,0,0,2,-2,1,4,0,2,0,2,15,10,1,4,6,4,2,3,14,7,0,4,1,4,1,2,14,7,0,4,1,4,1,2,11,5,4,1,3,2,1,1,2,1,2,-1,1,2,0,1,1,1,2,-1,1,2,0,1,1,4,2.3833333333333333
2016-09-25,West Ham,Southampton,0,3,A,0,1,A,13,18,1,9,9,14,6,2,5,2,0,0,19.46,19.85,-0.19,1,18,3,5,-4,7,13,1,5,0,3,2,1,3,4,1,1,0,3,2,1,3,4,1,1,0,15,5,5,-3,4,6,1,2,2,0,2,-2,1,4,0,2,0,0,2,-2,1,4,0,2,0,2,15,10,1,4,6,4,2,3,14,7,0,4,1,4,1,2,14,7,0,4,1,4,1,2,11,5,4,1,3,2,1,1,2,1,2,-1,1,2,0,1,1,1,2,-1,1,2,0,1,1,3,3.0666666666666664
2016-09-26,Burnley,Watford,2,0,H,1,0,H,13,12,4,3,11,15,7,6,1,3,0,0,19.54,20.15,-0.41,0,16,4,5,-2,3,8,1,4,1,4,3,1,3,2,1,1,1,4,3,1,3,2,1,1,1,12,7,5,-1,10,9,2,2,1,4,2,0,5,3,1,0,1,4,2,0,5,3,1,0,1,17,3,3,-1,1,3,1,2,0,3,1,0,1,0,1,0,0,3,1,0,1,0,1,0,0,14,4,2,1,3,2,1,0,1,4,2,1,3,2,1,0,1,4,2,1,3,2,1,0,1,8,1.6333333333333335
2016-09-26,Burnley,Watford,2,0,H,1,0,H,13,12,4,3,11,15,7,6,1,3,0,0,19.54,20.15,-0.41,0,16,4,5,-2,3,8,1,4,1,4,3,1,3,2,1,1,1,4,3,1,3,2,1,1,1,12,7,5,-1,10,9,2,2,1,4,2,0,5,3,1,0,1,4,2,0,5,3,1,0,1,17,3,3,-1,1,3,1,2,0,3,1,0,1,0,1,0,0,3,1,0,1,0,1,0,0,14,4,2,1,3,2,1,0,1,4,2,1,3,2,1,0,1,4,2,1,3,2,1,0,1,4,1.5166666666666666
